Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2025,7/1/2022,6/30/2023,Montgomery,2160,FY2023
8/27/2025,7/1/2022,6/30/2023,Prince George's,1975.6,FY2023
8/27/2025,7/1/2022,6/30/2023,Queen Anne's,139.3,FY2023
8/27/2025,7/1/2022,6/30/2023,St. Mary's,322,FY2023
8/27/2025,7/1/2022,6/30/2023,Somerset,77.2,FY2023
8/27/2025,7/1/2022,6/30/2023,Talbot,141.4,FY2023
8/27/2025,7/1/2022,6/30/2023,Washington,339.5,FY2023
8/27/2025,7/1/2022,6/30/2023,Wicomico,280.4,FY2023
8/27/2025,7/1/2022,6/30/2023,Worcester,115.3,FY2023
8/27/2025,7/1/2023,6/30/2024,Maryland,640.5,FY2024
8/27/2025,7/1/2023,6/30/2024,Allegany,158.7,FY2024
8/27/2025,7/1/2023,6/30/2024,Anne Arundel,1446,FY2024
8/27/2025,7/1/2023,6/30/2024,Baltimore City,7011.3,FY2024
8/27/2025,7/1/2023,6/30/2024,Baltimore,1418.5,FY2024
8/27/2025,7/1/2023,6/30/2024,Calvert,444.9,FY2024
8/27/2025,7/1/2023,6/30/2024,Caroline,105.9,FY2024
8/27/2025,7/1/2023,6/30/2024,Carroll,394.9,FY2024
8/27/2025,7/1/2023,6/30/2024,Cecil,305.2,FY2024
8/27/2025,7/1/2023,6/30/2024,Charles,376.3,FY2024
8/27/2025,7/1/2023,6/30/2024,Dorchester,60.9,FY2024
8/27/2025,7/1/2023,6/30/2024,Frederick,445.5,FY2024
8/27/2025,7/1/2023,6/30/2024,Garrett,44,FY2024
8/27/2025,7/1/2023,6/30/2024,Harford,605.8,FY2024
8/27/2025,7/1/2023,6/30/2024,Howard,1345.4,FY2024
8/27/2025,7/1/2023,6/30/2024,Kent,70.2,FY2024
8/27/2025,7/1/2023,6/30/2024,Montgomery,2176.9,FY2024
8/27/2025,7/1/2023,6/30/2024,Prince George's,1981.7,FY2024
8/27/2025,7/1/2023,6/30/2024,Queen Anne's,141.7,FY2024
8/27/2025,7/1/2023,6/30/2024,St. Mary's,323.3,FY2024
8/27/2025,7/1/2023,6/30/2024,Somerset,78.3,FY2024
8/27/2025,7/1/2023,6/30/2024,Talbot,141.8,FY2024
8/27/2025,7/1/2023,6/30/2024,Washington,341,FY2024
8/27/2025,7/1/2023,6/30/2024,Wicomico,282,FY2024
8/27/2025,7/1/2023,6/30/2024,Worcester,115.8,FY2024
8/27/2025,7/1/2024,6/30/2025,Maryland,645.2,FY2025
8/27/2025,7/1/2024,6/30/2025,Allegany,158.2,FY2025
8/27/2025,7/1/2024,6/30/2025,Anne Arundel,1451.8,FY2025
8/27/2025,7/1/2024,6/30/2025,Baltimore City,7020.6,FY2025
8/27/2025,7/1/2024,6/30/2025,Baltimore,1424.7,FY2025
8/27/2025,7/1/2024,6/30/2025,Calvert,445.3,FY2025
8/27/2025,7/1/2024,6/30/2025,Caroline,107.2,FY2025
8/27/2025,7/1/2024,6/30/2025,Carroll,395.7,FY2025
8/27/2025,7/1/2024,6/30/2025,Cecil,307,FY2025
8/27/2025,7/1/2024,6/30/2025,Charles,381.2,FY2025
8/27/2025,7/1/2024,6/30/2025,Dorchester,61.3,FY2025
8/27/2025,7/1/2024,6/30/2025,Frederick,453.4,FY2025
